epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,31.9242,1.80348,3.88969,1.858,0.00678,0.31469,0.03269,0.0156,1.36996,4.07532,1.50765,0.00012495,0.00012495,0.00012495
2,61.5414,1.69353,3.64976,1.84037,0.00648,0.3295,0.03207,0.01478,1.77807,4.02094,1.59701,0.000253117,0.000253117,0.000253117
3,90.6294,1.77607,3.31404,1.88619,0.00709,0.31485,0.02784,0.01463,1.86869,3.89011,1.66992,0.000376006,0.000376006,0.000376006
4,119.743,1.72408,3.08406,1.86178,0.53947,0.01271,0.03422,0.01739,2.00315,3.67217,1.77115,0.000493617,0.000493617,0.000493617
5,149.477,1.64695,2.92047,1.85256,0.54537,0.02239,0.02834,0.0116,2.38044,3.3882,2.07938,0.000605951,0.000605951,0.000605951
6,178.384,1.62458,2.84498,1.83481,0.28526,0.12185,0.04752,0.02205,2.61171,3.87371,2.19072,0.000713006,0.000713006,0.000713006
7,207.239,1.71401,2.77426,1.85383,0.28385,0.14986,0.0745,0.02783,2.46221,3.46576,2.08737,0.00073404,0.00073404,0.00073404
8,236.148,1.64624,2.71042,1.83343,0.41127,0.12677,0.03427,0.01148,2.49084,4.17994,2.3313,0.000717546,0.000717546,0.000717546
9,264.996,1.5992,2.54425,1.801,0.27638,0.07551,0.05044,0.02377,2.46639,3.25372,2.26185,0.000701053,0.000701053,0.000701053
10,294.086,1.63099,2.4582,1.79207,0.42201,0.05361,0.05566,0.02637,2.30996,3.4621,2.01256,0.000684559,0.000684559,0.000684559
11,322.843,1.59106,2.47355,1.8081,0.28444,0.15924,0.08894,0.05173,2.16178,3.39429,1.92332,0.000668066,0.000668066,0.000668066
12,352.661,1.55305,2.51066,1.77871,0.35491,0.16339,0.1209,0.05916,2.2706,3.11237,2.0097,0.000651573,0.000651573,0.000651573
13,381.555,1.55355,2.46397,1.77637,0.43426,0.16137,0.10043,0.03434,2.61263,3.02275,2.2477,0.000635079,0.000635079,0.000635079
14,410.435,1.49154,2.34666,1.74865,0.45648,0.13731,0.08286,0.03556,2.66299,2.93339,2.3926,0.000618586,0.000618586,0.000618586
15,439.285,1.53712,2.35201,1.75354,0.35086,0.16745,0.11065,0.05241,2.48391,2.95129,2.18762,0.000602092,0.000602092,0.000602092
16,469.003,1.54089,2.30222,1.73476,0.26059,0.08182,0.06756,0.0267,2.58424,2.99964,2.21804,0.000585599,0.000585599,0.000585599
17,497.969,1.54673,2.23731,1.76062,0.48007,0.07441,0.08014,0.02678,2.68593,2.97204,2.31158,0.000569106,0.000569106,0.000569106
18,526.975,1.52265,2.183,1.75242,0.6293,0.14413,0.10838,0.06055,2.71554,3.11211,2.39191,0.000552612,0.000552612,0.000552612
19,556.125,1.46167,2.02575,1.6621,0.32441,0.13877,0.10765,0.0439,2.66126,3.26037,2.35346,0.000536119,0.000536119,0.000536119
20,584.983,1.46928,2.10731,1.66923,0.49143,0.1067,0.08029,0.03487,2.43887,3.15431,2.14493,0.000519625,0.000519625,0.000519625
21,613.767,1.38234,2.11505,1.6748,0.28679,0.12616,0.0566,0.0323,2.39671,3.24137,2.08413,0.000503132,0.000503132,0.000503132
22,642.558,1.46498,2.06063,1.72244,0.31067,0.14997,0.09056,0.04828,2.41837,3.0875,2.03848,0.000486639,0.000486639,0.000486639
23,671.436,1.35755,1.97255,1.62522,0.49883,0.1062,0.11522,0.05295,2.617,3.09048,2.16953,0.000470145,0.000470145,0.000470145
24,700.527,1.34774,1.89138,1.60278,0.4881,0.07245,0.06042,0.03015,2.64197,3.24548,2.26233,0.000453652,0.000453652,0.000453652
25,729.386,1.3759,1.91799,1.63659,0.26451,0.03633,0.04825,0.02339,2.67321,3.34622,2.26869,0.000437158,0.000437158,0.000437158
26,758.231,1.39808,1.90311,1.64037,0.51562,0.1067,0.08595,0.03703,2.61497,3.14218,2.23785,0.000420665,0.000420665,0.000420665
27,787.017,1.32804,1.80004,1.56163,0.66362,0.0664,0.08631,0.04016,2.55259,3.24517,2.25494,0.000404172,0.000404172,0.000404172
28,815.884,1.29335,1.78221,1.56332,0.74199,0.06313,0.08173,0.04335,2.75457,3.02661,2.41905,0.000387678,0.000387678,0.000387678
29,844.745,1.32345,1.74731,1.56803,0.54618,0.03633,0.05643,0.02544,2.93397,2.90285,2.56284,0.000371185,0.000371185,0.000371185
30,873.745,1.34455,1.7452,1.54453,0.21868,0.06755,0.04494,0.02461,2.79099,3.13515,2.41474,0.000354691,0.000354691,0.000354691
31,902.584,1.29265,1.72913,1.57805,0.31221,0.09778,0.08295,0.05924,2.652,3.09582,2.41488,0.000338198,0.000338198,0.000338198
32,931.301,1.24,1.72316,1.54123,0.36352,0.09778,0.07812,0.04363,2.68369,3.0355,2.4734,0.000321705,0.000321705,0.000321705
33,960.01,1.29075,1.73127,1.56394,0.28755,0.10001,0.06305,0.03337,2.78415,3.15047,2.43845,0.000305211,0.000305211,0.000305211
34,988.814,1.28487,1.63103,1.53216,0.33855,0.13559,0.08377,0.04592,2.81906,3.05379,2.42534,0.000288718,0.000288718,0.000288718
35,1017.62,1.27072,1.63901,1.53432,0.31665,0.08326,0.06386,0.02396,2.8409,2.82783,2.4478,0.000272224,0.000272224,0.000272224
36,1046.47,1.21005,1.63986,1.49628,0.26573,0.11127,0.06699,0.02418,2.75711,2.73193,2.37262,0.000255731,0.000255731,0.000255731
37,1075.44,1.27961,1.58079,1.51258,0.26861,0.11123,0.06381,0.02796,2.7077,2.78035,2.36657,0.000239238,0.000239238,0.000239238
38,1104.24,1.21398,1.57415,1.50254,0.44138,0.06766,0.06054,0.02492,2.74947,2.75577,2.39322,0.000222744,0.000222744,0.000222744
39,1133.41,1.29115,1.61477,1.53285,0.26026,0.05415,0.05612,0.0237,2.78541,2.78507,2.42206,0.000206251,0.000206251,0.000206251
40,1162.59,1.18786,1.55626,1.4721,0.35129,0.11087,0.0854,0.03233,2.76481,2.82323,2.38769,0.000189757,0.000189757,0.000189757
41,1257.43,1.36632,1.83989,1.58815,0.28349,0.10144,0.07347,0.03513,2.76561,2.91089,2.41635,0.000173264,0.000173264,0.000173264
42,1286.27,1.31237,1.7218,1.5893,0.30079,0.1013,0.06567,0.0308,2.73838,2.94811,2.42016,0.000156771,0.000156771,0.000156771
43,1315.29,1.26859,1.76321,1.54488,0.27597,0.12512,0.07753,0.03476,2.73678,2.84707,2.42643,0.000140277,0.000140277,0.000140277
44,1343.87,1.27396,1.65022,1.5775,0.3787,0.13266,0.11863,0.05162,2.7362,2.78243,2.39046,0.000123784,0.000123784,0.000123784
45,1372.44,1.21628,1.58502,1.51274,0.32938,0.16487,0.09119,0.04452,2.7954,2.84116,2.44543,0.00010729,0.00010729,0.00010729
46,1400.98,1.23026,1.58435,1.53728,0.35966,0.15371,0.09337,0.04427,2.82168,2.91669,2.46706,9.0797e-05,9.0797e-05,9.0797e-05
47,1429.67,1.22393,1.58123,1.51269,0.35426,0.15371,0.10132,0.04043,2.80889,2.93379,2.44063,7.43036e-05,7.43036e-05,7.43036e-05
48,1458.14,1.20768,1.58385,1.5349,0.37057,0.16025,0.11292,0.0404,2.81768,2.92498,2.43328,5.78102e-05,5.78102e-05,5.78102e-05
